bank_transaction_id,code,gl_record_id,id,invoice_id,message,payment_id,severity,status
,missing_gl,,1,INV-2022-0001,Invoice or collection GL posting does not reconcile,,error,open
,missing_deposit,,2,INV-2022-0002,Applied payment has no exact bank deposit,,error,open
,missing_gl,,3,INV-2022-0002,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,4,INV-2022-0003,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,5,INV-2022-0004,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,6,INV-2022-0005,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,7,INV-2022-0006,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,8,INV-2022-0007,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,9,INV-2022-0008,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,10,INV-2022-0009,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,11,INV-2022-0010,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,12,INV-2022-0011,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,13,INV-2022-0012,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,14,INV-2022-0013,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,15,INV-2022-0014,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,16,INV-2022-0015,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,17,INV-2022-0016,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,18,INV-2022-0017,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,19,INV-2022-0018,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,20,INV-2022-0019,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,21,INV-2022-0020,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,22,INV-2022-0021,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,23,INV-2022-0022,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,24,INV-2022-0023,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,25,INV-2022-0024,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,26,INV-2022-0025,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,27,INV-2022-0026,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,28,INV-2022-0027,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,29,INV-2022-0028,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,30,INV-2022-0029,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,31,INV-2022-0030,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,32,INV-2022-0031,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,33,INV-2022-0032,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,34,INV-2022-0033,Invoice or collection GL posting does not reconcile,,error,open
,missing_deposit,,35,INV-2022-0034,Applied payment has no exact bank deposit,,error,open
,missing_gl,,36,INV-2022-0034,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,37,INV-2022-0035,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,38,INV-2022-0036,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,39,INV-2022-0037,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,40,INV-2022-0038,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,41,INV-2022-0039,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,42,INV-2022-0040,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,43,INV-2022-0041,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,44,INV-2022-0042,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,45,INV-2022-0043,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,46,INV-2022-0044,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,47,INV-2022-0045,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,48,INV-2022-0046,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,49,INV-2022-0047,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,50,INV-2022-0048,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,51,INV-2022-0049,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,52,INV-2022-0050,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,53,INV-2022-0051,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,54,INV-2022-0052,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,55,INV-2022-0053,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,56,INV-2022-0054,Invoice or collection GL posting does not reconcile,,error,open
,missing_gl,,57,INV-2022-0055,Invoice or collection GL posting does not reconcile,,error,open
