amount,confidence,group_id,status,type
687.000000,0.980000,1461,suggested,one_to_one
687.000000,0.980000,1464,suggested,one_to_one
608.000000,0.980000,1493,suggested,one_to_one
608.000000,0.980000,1494,suggested,one_to_one
744.000000,0.980000,1644,suggested,one_to_one
744.000000,0.980000,1648,suggested,one_to_one
608.000000,0.900000,1773,suggested,one_to_one
608.000000,0.900000,1774,suggested,one_to_one
687.000000,0.800000,1775,suggested,one_to_one
687.000000,0.800000,1776,suggested,one_to_one
744.000000,0.800000,1777,suggested,one_to_one
744.000000,0.800000,1778,suggested,one_to_one
