amount,confidence,group_id,status,type
1107.000000,0.980000,1335,matched,one_to_one
421.000000,0.980000,1336,matched,one_to_one
919.000000,0.980000,1337,matched,one_to_one
1034.000000,0.980000,1338,matched,one_to_one
1068.000000,0.980000,1339,matched,one_to_one
1185.000000,0.980000,1340,matched,one_to_one
1140.000000,0.980000,1341,matched,one_to_one
902.000000,0.980000,1342,matched,one_to_one
1134.000000,0.980000,1343,matched,one_to_one
832.000000,0.980000,1344,matched,one_to_one
217.000000,0.980000,1345,matched,one_to_one
974.000000,0.980000,1346,matched,one_to_one
119.000000,0.980000,1347,matched,one_to_one
839.000000,0.980000,1348,matched,one_to_one
189.000000,0.980000,1349,matched,one_to_one
1081.000000,0.980000,1350,matched,one_to_one
455.000000,0.980000,1351,matched,one_to_one
1190.000000,0.980000,1352,matched,one_to_one
1089.000000,0.980000,1353,matched,one_to_one
709.000000,0.980000,1354,matched,one_to_one
837.000000,0.980000,1355,matched,one_to_one
712.000000,0.980000,1356,matched,one_to_one
783.000000,0.980000,1357,matched,one_to_one
800.000000,0.980000,1358,matched,one_to_one
364.000000,0.980000,1359,matched,one_to_one
1098.000000,0.980000,1360,matched,one_to_one
1118.000000,0.980000,1361,matched,one_to_one
1004.000000,0.980000,1362,matched,one_to_one
1143.000000,0.980000,1363,matched,one_to_one
1033.000000,0.980000,1364,matched,one_to_one
1158.000000,0.980000,1365,matched,one_to_one
775.000000,0.980000,1366,matched,one_to_one
700.000000,0.980000,1367,matched,one_to_one
1105.000000,0.980000,1368,matched,one_to_one
448.000000,0.980000,1369,matched,one_to_one
1060.000000,0.980000,1370,matched,one_to_one
1015.000000,0.980000,1371,matched,one_to_one
312.000000,0.980000,1372,matched,one_to_one
704.000000,0.980000,1373,matched,one_to_one
777.000000,0.980000,1374,matched,one_to_one
831.000000,0.980000,1375,matched,one_to_one
741.000000,0.980000,1376,matched,one_to_one
995.000000,0.980000,1377,matched,one_to_one
803.000000,0.980000,1378,matched,one_to_one
878.000000,0.980000,1379,matched,one_to_one
1052.000000,0.980000,1380,matched,one_to_one
842.000000,0.980000,1381,matched,one_to_one
844.000000,0.980000,1382,matched,one_to_one
1149.000000,0.980000,1383,matched,one_to_one
803.000000,0.980000,1384,matched,one_to_one
738.000000,0.980000,1385,matched,one_to_one
233.000000,0.980000,1386,matched,one_to_one
1090.000000,0.980000,1387,matched,one_to_one
