date,description,id,reference,row_number,signed_amount
2023-01-01,Synthetic customer payment,JL-2023-000758-01,PAY-2023-0379,2044,5068.000000
2023-02-01,Synthetic customer payment,JL-2023-000822-01,PAY-2023-0411,2172,5147.000000
2023-03-01,Synthetic customer payment,JL-2023-000880-01,PAY-2023-0440,2288,4622.000000
2023-04-01,Synthetic customer payment,JL-2023-000944-01,PAY-2023-0472,2416,3939.000000
2023-04-17,Synthetic customer payment,JL-2023-000976-01,PAY-2023-0488,2480,687.000000
2023-04-20,Synthetic customer payment,JL-2023-000982-01,PAY-2023-0491,2492,687.000000
2023-05-01,Synthetic customer payment,JL-2023-001006-01,PAY-2023-0503,2540,5381.000000
2023-05-15,Synthetic customer payment,JL-2023-001034-01,PAY-2023-0517,2596,608.000000
2023-05-16,Synthetic customer payment,JL-2023-001036-01,PAY-2023-0518,2600,608.000000
2023-06-01,Synthetic customer payment,JL-2023-001070-01,PAY-2023-0535,2668,3374.000000
2023-07-01,Synthetic customer payment,JL-2023-001132-01,PAY-2023-0566,2792,5884.000000
2023-08-01,Synthetic customer payment,JL-2023-001196-01,PAY-2023-0598,2920,5365.000000
2023-09-01,Synthetic customer payment,JL-2023-001260-01,PAY-2023-0630,3048,4851.000000
2023-09-20,Synthetic customer payment,JL-2023-001298-01,PAY-2023-0649,3124,744.000000
2023-09-23,Synthetic customer payment,JL-2023-001304-01,PAY-2023-0652,3136,744.000000
2023-10-01,Synthetic customer payment,JL-2023-001322-01,PAY-2023-0661,3172,4646.000000
2023-11-01,Synthetic customer payment,JL-2023-001386-01,PAY-2023-0693,3300,3503.000000
2023-12-01,Synthetic customer payment,JL-2023-001448-01,PAY-2023-0724,3424,5008.000000
