applied_amount,invoice_id,payment_application_id,payment_id,status
802.000000,INV-2022-0001,PAPP-2022-0001,PAY-2022-0001,matched
802.000000,INV-2022-0001,PAPP-2022-0001,PAY-2022-0001,matched
802.000000,INV-2022-0001,PAPP-2022-0001,PAY-2022-0001,matched
802.000000,INV-2022-0001,PAPP-2022-0001,PAY-2022-0001,matched
3403.000000,INV-2022-0002,PAPP-2022-0002,PAY-2022-0002,partially_matched
3403.000000,INV-2022-0002,PAPP-2022-0002,PAY-2022-0002,partially_matched
3403.000000,INV-2022-0002,PAPP-2022-0002,PAY-2022-0002,partially_matched
970.000000,INV-2022-0003,PAPP-2022-0003,PAY-2022-0003,matched
970.000000,INV-2022-0003,PAPP-2022-0003,PAY-2022-0003,matched
970.000000,INV-2022-0003,PAPP-2022-0003,PAY-2022-0003,matched
970.000000,INV-2022-0003,PAPP-2022-0003,PAY-2022-0003,matched
888.000000,INV-2022-0004,PAPP-2022-0004,PAY-2022-0004,matched
888.000000,INV-2022-0004,PAPP-2022-0004,PAY-2022-0004,matched
888.000000,INV-2022-0004,PAPP-2022-0004,PAY-2022-0004,matched
888.000000,INV-2022-0004,PAPP-2022-0004,PAY-2022-0004,matched
821.000000,INV-2022-0005,PAPP-2022-0005,PAY-2022-0005,matched
821.000000,INV-2022-0005,PAPP-2022-0005,PAY-2022-0005,matched
821.000000,INV-2022-0005,PAPP-2022-0005,PAY-2022-0005,matched
821.000000,INV-2022-0005,PAPP-2022-0005,PAY-2022-0005,matched
787.000000,INV-2022-0006,PAPP-2022-0006,PAY-2022-0006,matched
787.000000,INV-2022-0006,PAPP-2022-0006,PAY-2022-0006,matched
787.000000,INV-2022-0006,PAPP-2022-0006,PAY-2022-0006,matched
787.000000,INV-2022-0006,PAPP-2022-0006,PAY-2022-0006,matched
1059.000000,INV-2022-0007,PAPP-2022-0007,PAY-2022-0007,matched
1059.000000,INV-2022-0007,PAPP-2022-0007,PAY-2022-0007,matched
1059.000000,INV-2022-0007,PAPP-2022-0007,PAY-2022-0007,matched
1059.000000,INV-2022-0007,PAPP-2022-0007,PAY-2022-0007,matched
849.000000,INV-2022-0008,PAPP-2022-0008,PAY-2022-0008,matched
849.000000,INV-2022-0008,PAPP-2022-0008,PAY-2022-0008,matched
849.000000,INV-2022-0008,PAPP-2022-0008,PAY-2022-0008,matched
849.000000,INV-2022-0008,PAPP-2022-0008,PAY-2022-0008,matched
1113.000000,INV-2022-0009,PAPP-2022-0009,PAY-2022-0009,matched
