bank_total,confidence,gl_total,group_id,payroll_run_id,payroll_total,status
0.000000,0.650000,7440.840000,1,53,5760.720000,partially_matched
0.000000,0.650000,7645.550000,3,54,5910.480000,partially_matched
0.000000,0.650000,7349.650000,4,55,5691.100000,partially_matched
0.000000,0.650000,7291.170000,6,56,5632.720000,partially_matched
0.000000,0.650000,7520.850000,7,57,5824.250000,partially_matched
0.000000,0.650000,7398.200000,9,58,5730.200000,partially_matched
0.000000,0.650000,7575.990000,10,59,5867.550000,partially_matched
0.000000,0.650000,7346.360000,11,60,5697.610000,partially_matched
0.000000,0.650000,7334.870000,13,61,5681.310000,partially_matched
0.000000,0.650000,7517.230000,14,62,5824.620000,partially_matched
0.000000,0.650000,7352.510000,16,63,5696.310000,partially_matched
0.000000,0.650000,7457.270000,17,64,5773.790000,partially_matched
0.000000,0.650000,7579.630000,19,65,5873.250000,partially_matched
0.000000,0.650000,7562.690000,20,66,5842.430000,partially_matched
0.000000,0.650000,7772.500000,22,67,6010.070000,partially_matched
0.000000,0.650000,7408.020000,23,68,5737.920000,partially_matched
0.000000,0.650000,7338.630000,25,69,5678.300000,partially_matched
0.000000,0.650000,7370.140000,26,70,5701.210000,partially_matched
0.000000,0.650000,7287.580000,27,24,5635.200000,partially_matched
0.000000,0.650000,7506.230000,28,71,5812.520000,partially_matched
0.000000,0.650000,7616.180000,29,72,5893.220000,partially_matched
0.000000,0.650000,7616.140000,31,73,5890.300000,partially_matched
0.000000,0.650000,7545.130000,32,74,5834.670000,partially_matched
0.000000,0.650000,7438.030000,34,75,5753.510000,partially_matched
0.000000,0.650000,7510.820000,35,76,5808.220000,partially_matched
0.000000,0.650000,7579.420000,37,77,5873.930000,partially_matched
