bank_transaction_id,code,gl_record_id,id,payroll_run_id,severity,status
,partial_payroll_match,,1,1,warning,open
,partial_payroll_match,,2,2,warning,open
,partial_payroll_match,,3,3,warning,open
,partial_payroll_match,,4,4,warning,open
,partial_payroll_match,,5,5,warning,open
,partial_payroll_match,,6,6,warning,open
,partial_payroll_match,,7,7,warning,open
,partial_payroll_match,,8,8,warning,open
,partial_payroll_match,,9,9,warning,open
,partial_payroll_match,,10,10,warning,open
,partial_payroll_match,,11,11,warning,open
,partial_payroll_match,,12,12,warning,open
,partial_payroll_match,,13,13,warning,open
,partial_payroll_match,,14,14,warning,open
,partial_payroll_match,,15,15,warning,open
,partial_payroll_match,,16,16,warning,open
,partial_payroll_match,,17,17,warning,open
,partial_payroll_match,,18,18,warning,open
,partial_payroll_match,,19,19,warning,open
,partial_payroll_match,,20,20,warning,open
,partial_payroll_match,,21,21,warning,open
,partial_payroll_match,,22,22,warning,open
,partial_payroll_match,,23,23,warning,open
,partial_payroll_match,,24,24,warning,open
,partial_payroll_match,,25,25,warning,open
,partial_payroll_match,,26,26,warning,open
,partial_payroll_match,,27,27,warning,open
,partial_payroll_match,,28,28,warning,open
,partial_payroll_match,,29,29,warning,open
,partial_payroll_match,,30,30,warning,open
,partial_payroll_match,,31,31,warning,open
,partial_payroll_match,,32,32,warning,open
,partial_payroll_match,,33,33,warning,open
,partial_payroll_match,,34,34,warning,open
,partial_payroll_match,,35,35,warning,open
,partial_payroll_match,,36,36,warning,open
,partial_payroll_match,,37,37,warning,open
,partial_payroll_match,,38,38,warning,open
,partial_payroll_match,,39,39,warning,open
,partial_payroll_match,,40,40,warning,open
,partial_payroll_match,,41,41,warning,open
,partial_payroll_match,,42,42,warning,open
,partial_payroll_match,,43,43,warning,open
,partial_payroll_match,,44,44,warning,open
,partial_payroll_match,,45,45,warning,open
,partial_payroll_match,,46,46,warning,open
,partial_payroll_match,,47,47,warning,open
,partial_payroll_match,,48,48,warning,open
,partial_payroll_match,,49,49,warning,open
,partial_payroll_match,,50,50,warning,open
,partial_payroll_match,,51,51,warning,open
,partial_payroll_match,,52,52,warning,open
2,unmatched_bank_withdrawal,,53,,warning,open
4,unmatched_bank_withdrawal,,54,,warning,open
6,unmatched_bank_withdrawal,,55,,warning,open
8,unmatched_bank_withdrawal,,56,,warning,open
10,unmatched_bank_withdrawal,,57,,warning,open
12,unmatched_bank_withdrawal,,58,,warning,open
14,unmatched_bank_withdrawal,,59,,warning,open
16,unmatched_bank_withdrawal,,60,,warning,open
18,unmatched_bank_withdrawal,,61,,warning,open
20,unmatched_bank_withdrawal,,62,,warning,open
22,unmatched_bank_withdrawal,,63,,warning,open
24,unmatched_bank_withdrawal,,64,,warning,open
26,unmatched_bank_withdrawal,,65,,warning,open
28,unmatched_bank_withdrawal,,66,,warning,open
30,unmatched_bank_withdrawal,,67,,warning,open
32,unmatched_bank_withdrawal,,68,,warning,open
34,unmatched_bank_withdrawal,,69,,warning,open
36,unmatched_bank_withdrawal,,70,,warning,open
38,unmatched_bank_withdrawal,,71,,warning,open
40,unmatched_bank_withdrawal,,72,,warning,open
42,unmatched_bank_withdrawal,,73,,warning,open
44,unmatched_bank_withdrawal,,74,,warning,open
46,unmatched_bank_withdrawal,,75,,warning,open
48,unmatched_bank_withdrawal,,76,,warning,open
,unmatched_payroll_gl,JL-2022-001962-01,77,,warning,open
,unmatched_payroll_gl,JL-2022-001962-02,78,,warning,open
,unmatched_payroll_gl,JL-2022-001963-01,79,,warning,open
,unmatched_payroll_gl,JL-2022-001963-02,80,,warning,open
,unmatched_payroll_gl,JL-2022-001964-01,81,,warning,open
,unmatched_payroll_gl,JL-2022-001964-02,82,,warning,open
,unmatched_payroll_gl,JL-2022-001965-01,83,,warning,open
,unmatched_payroll_gl,JL-2022-001965-02,84,,warning,open
,unmatched_payroll_gl,JL-2022-001966-01,85,,warning,open
,unmatched_payroll_gl,JL-2022-001966-02,86,,warning,open
,unmatched_payroll_gl,JL-2022-001967-01,87,,warning,open
,unmatched_payroll_gl,JL-2022-001967-02,88,,warning,open
,unmatched_payroll_gl,JL-2022-001968-01,89,,warning,open
,unmatched_payroll_gl,JL-2022-001968-02,90,,warning,open
,unmatched_payroll_gl,JL-2022-001969-01,91,,warning,open
,unmatched_payroll_gl,JL-2022-001969-02,92,,warning,open
,unmatched_payroll_gl,JL-2022-001970-01,93,,warning,open
,unmatched_payroll_gl,JL-2022-001970-02,94,,warning,open
,unmatched_payroll_gl,JL-2022-001971-01,95,,warning,open
,unmatched_payroll_gl,JL-2022-001971-02,96,,warning,open
,unmatched_payroll_gl,JL-2022-001972-01,97,,warning,open
,unmatched_payroll_gl,JL-2022-001972-02,98,,warning,open
,unmatched_payroll_gl,JL-2022-001973-01,99,,warning,open
,unmatched_payroll_gl,JL-2022-001973-02,100,,warning,open
,unmatched_payroll_gl,JL-2022-001974-01,101,,warning,open
,unmatched_payroll_gl,JL-2022-001974-02,102,,warning,open
,unmatched_payroll_gl,JL-2022-001975-01,103,,warning,open
,unmatched_payroll_gl,JL-2022-001975-02,104,,warning,open
,unmatched_payroll_gl,JL-2022-001976-01,105,,warning,open
,unmatched_payroll_gl,JL-2022-001976-02,106,,warning,open
,unmatched_payroll_gl,JL-2022-001977-01,107,,warning,open
,unmatched_payroll_gl,JL-2022-001977-02,108,,warning,open
,unmatched_payroll_gl,JL-2022-001978-01,109,,warning,open
,unmatched_payroll_gl,JL-2022-001978-02,110,,warning,open
,unmatched_payroll_gl,JL-2022-001979-01,111,,warning,open
,unmatched_payroll_gl,JL-2022-001979-02,112,,warning,open
,unmatched_payroll_gl,JL-2022-001980-01,113,,warning,open
,unmatched_payroll_gl,JL-2022-001980-02,114,,warning,open
,unmatched_payroll_gl,JL-2022-001981-01,115,,warning,open
,unmatched_payroll_gl,JL-2022-001981-02,116,,warning,open
,unmatched_payroll_gl,JL-2022-001982-01,117,,warning,open
,unmatched_payroll_gl,JL-2022-001982-02,118,,warning,open
,unmatched_payroll_gl,JL-2022-001983-01,119,,warning,open
,unmatched_payroll_gl,JL-2022-001983-02,120,,warning,open
,unmatched_payroll_gl,JL-2022-001984-01,121,,warning,open
,unmatched_payroll_gl,JL-2022-001984-02,122,,warning,open
,unmatched_payroll_gl,JL-2022-001985-01,123,,warning,open
,unmatched_payroll_gl,JL-2022-001985-02,124,,warning,open
,unmatched_payroll_gl,JL-2022-001986-01,125,,warning,open
,unmatched_payroll_gl,JL-2022-001986-02,126,,warning,open
,unmatched_payroll_gl,JL-2022-001987-01,127,,warning,open
,unmatched_payroll_gl,JL-2022-001987-02,128,,warning,open
,unmatched_payroll_gl,JL-2023-001988-01,129,,warning,open
,unmatched_payroll_gl,JL-2023-001988-02,130,,warning,open
,unmatched_payroll_gl,JL-2023-001989-01,131,,warning,open
,unmatched_payroll_gl,JL-2023-001989-02,132,,warning,open
,unmatched_payroll_gl,JL-2023-001990-01,133,,warning,open
,unmatched_payroll_gl,JL-2023-001990-02,134,,warning,open
,unmatched_payroll_gl,JL-2023-001991-01,135,,warning,open
,unmatched_payroll_gl,JL-2023-001991-02,136,,warning,open
,unmatched_payroll_gl,JL-2023-001992-01,137,,warning,open
,unmatched_payroll_gl,JL-2023-001992-02,138,,warning,open
,unmatched_payroll_gl,JL-2023-001993-01,139,,warning,open
,unmatched_payroll_gl,JL-2023-001993-02,140,,warning,open
,unmatched_payroll_gl,JL-2023-001994-01,141,,warning,open
,unmatched_payroll_gl,JL-2023-001994-02,142,,warning,open
,unmatched_payroll_gl,JL-2023-001995-01,143,,warning,open
,unmatched_payroll_gl,JL-2023-001995-02,144,,warning,open
,unmatched_payroll_gl,JL-2023-001996-01,145,,warning,open
,unmatched_payroll_gl,JL-2023-001996-02,146,,warning,open
,unmatched_payroll_gl,JL-2023-001997-01,147,,warning,open
,unmatched_payroll_gl,JL-2023-001997-02,148,,warning,open
,unmatched_payroll_gl,JL-2023-001998-01,149,,warning,open
,unmatched_payroll_gl,JL-2023-001998-02,150,,warning,open
,unmatched_payroll_gl,JL-2023-001999-01,151,,warning,open
,unmatched_payroll_gl,JL-2023-001999-02,152,,warning,open
,unmatched_payroll_gl,JL-2023-002000-01,153,,warning,open
,unmatched_payroll_gl,JL-2023-002000-02,154,,warning,open
,unmatched_payroll_gl,JL-2023-002001-01,155,,warning,open
,unmatched_payroll_gl,JL-2023-002001-02,156,,warning,open
,unmatched_payroll_gl,JL-2023-002002-01,157,,warning,open
,unmatched_payroll_gl,JL-2023-002002-02,158,,warning,open
,unmatched_payroll_gl,JL-2023-002003-01,159,,warning,open
,unmatched_payroll_gl,JL-2023-002003-02,160,,warning,open
,unmatched_payroll_gl,JL-2023-002004-01,161,,warning,open
,unmatched_payroll_gl,JL-2023-002004-02,162,,warning,open
,unmatched_payroll_gl,JL-2023-002005-01,163,,warning,open
,unmatched_payroll_gl,JL-2023-002005-02,164,,warning,open
,unmatched_payroll_gl,JL-2023-002006-01,165,,warning,open
,unmatched_payroll_gl,JL-2023-002006-02,166,,warning,open
,unmatched_payroll_gl,JL-2023-002007-01,167,,warning,open
,unmatched_payroll_gl,JL-2023-002007-02,168,,warning,open
,unmatched_payroll_gl,JL-2023-002008-01,169,,warning,open
,unmatched_payroll_gl,JL-2023-002008-02,170,,warning,open
,unmatched_payroll_gl,JL-2023-002009-01,171,,warning,open
,unmatched_payroll_gl,JL-2023-002009-02,172,,warning,open
,unmatched_payroll_gl,JL-2023-002010-01,173,,warning,open
,unmatched_payroll_gl,JL-2023-002010-02,174,,warning,open
,unmatched_payroll_gl,JL-2023-002011-01,175,,warning,open
,unmatched_payroll_gl,JL-2023-002011-02,176,,warning,open
,unmatched_payroll_gl,JL-2023-002012-01,177,,warning,open
,unmatched_payroll_gl,JL-2023-002012-02,178,,warning,open
,unmatched_payroll_gl,JL-2023-002013-01,179,,warning,open
,unmatched_payroll_gl,JL-2023-002013-02,180,,warning,open
