bank_total,confidence,gl_total,group_id,payroll_run_id,payroll_total,status
0.000000,0.650000,7401.510000,1,1,5726.690000,partially_matched
0.000000,0.650000,7600.810000,2,2,5885.630000,partially_matched
0.000000,0.650000,7629.350000,3,3,5902.150000,partially_matched
0.000000,0.650000,7214.050000,4,4,5585.730000,partially_matched
0.000000,0.650000,7489.940000,5,5,5801.440000,partially_matched
0.000000,0.650000,7528.550000,6,6,5827.840000,partially_matched
0.000000,0.650000,7401.900000,7,7,5727.400000,partially_matched
0.000000,0.650000,7534.910000,8,8,5827.500000,partially_matched
0.000000,0.650000,7518.850000,9,9,5818.510000,partially_matched
0.000000,0.650000,7444.300000,10,10,5753.320000,partially_matched
0.000000,0.650000,7428.810000,11,11,5765.020000,partially_matched
0.000000,0.650000,8527.680000,12,12,6578.850000,partially_matched
0.000000,0.650000,8790.030000,13,13,6773.940000,partially_matched
0.000000,0.650000,8568.250000,14,14,6608.800000,partially_matched
0.000000,0.650000,8766.130000,15,15,6770.210000,partially_matched
0.000000,0.650000,8681.840000,16,16,6696.770000,partially_matched
0.000000,0.650000,8700.500000,17,17,6709.710000,partially_matched
0.000000,0.650000,7269.360000,18,18,5627.030000,partially_matched
0.000000,0.650000,7499.680000,19,19,5807.440000,partially_matched
0.000000,0.650000,7495.650000,20,20,5802.310000,partially_matched
0.000000,0.650000,7353.420000,21,21,5692.490000,partially_matched
0.000000,0.650000,7373.630000,22,22,5705.990000,partially_matched
0.000000,0.650000,7463.710000,23,23,5783.450000,partially_matched
0.000000,0.650000,7490.950000,24,24,5798.740000,partially_matched
0.000000,0.650000,7470.400000,25,25,5785.860000,partially_matched
0.000000,0.650000,7505.780000,26,26,5807.410000,partially_matched
0.000000,0.650000,7440.840000,27,27,5760.720000,partially_matched
0.000000,0.650000,7645.550000,28,28,5910.480000,partially_matched
0.000000,0.650000,7349.650000,29,29,5691.100000,partially_matched
0.000000,0.650000,7291.170000,30,30,5632.720000,partially_matched
0.000000,0.650000,7520.850000,31,31,5824.250000,partially_matched
0.000000,0.650000,7398.200000,32,32,5730.200000,partially_matched
0.000000,0.650000,7575.990000,33,33,5867.550000,partially_matched
0.000000,0.650000,7346.360000,34,34,5697.610000,partially_matched
0.000000,0.650000,7334.870000,35,35,5681.310000,partially_matched
0.000000,0.650000,7517.230000,36,36,5824.620000,partially_matched
0.000000,0.650000,7352.510000,37,37,5696.310000,partially_matched
0.000000,0.650000,7457.270000,38,38,5773.790000,partially_matched
0.000000,0.650000,7579.630000,39,39,5873.250000,partially_matched
0.000000,0.650000,7562.690000,40,40,5842.430000,partially_matched
0.000000,0.650000,7772.500000,41,41,6010.070000,partially_matched
0.000000,0.650000,7408.020000,42,42,5737.920000,partially_matched
0.000000,0.650000,7338.630000,43,43,5678.300000,partially_matched
0.000000,0.650000,7370.140000,44,44,5701.210000,partially_matched
0.000000,0.650000,7287.580000,45,45,5635.200000,partially_matched
0.000000,0.650000,7506.230000,46,46,5812.520000,partially_matched
0.000000,0.650000,7616.180000,47,47,5893.220000,partially_matched
0.000000,0.650000,7616.140000,48,48,5890.300000,partially_matched
0.000000,0.650000,7545.130000,49,49,5834.670000,partially_matched
0.000000,0.650000,7438.030000,50,50,5753.510000,partially_matched
0.000000,0.650000,7510.820000,51,51,5808.220000,partially_matched
0.000000,0.650000,7579.420000,52,52,5873.930000,partially_matched
