date,description,id,reference,row_number,signed_amount
2022-01-01,Synthetic customer payment,JL-2022-000002-01,PAY-2022-0001,4,3403.000000
2022-02-01,Synthetic customer payment,JL-2022-000066-01,PAY-2022-0033,132,5779.000000
2022-03-01,Synthetic customer payment,JL-2022-000124-01,PAY-2022-0062,248,5579.000000
2022-03-19,Synthetic customer payment,JL-2022-000162-01,PAY-2022-0081,324,512.000000
2022-03-20,Synthetic customer payment,JL-2022-000164-01,PAY-2022-0082,328,512.000000
2022-04-01,Synthetic customer payment,JL-2022-000188-01,PAY-2022-0094,376,4712.000000
2022-05-01,Synthetic customer payment,JL-2022-000250-01,PAY-2022-0125,500,4273.000000
2022-05-07,Synthetic customer payment,JL-2022-000264-01,PAY-2022-0132,528,498.000000
2022-05-10,Synthetic customer payment,JL-2022-000270-01,PAY-2022-0135,540,498.000000
2022-06-01,Synthetic customer payment,JL-2022-000314-01,PAY-2022-0157,628,5913.000000
2022-07-01,Synthetic customer payment,JL-2022-000376-01,PAY-2022-0188,752,5625.000000
2022-08-01,Synthetic customer payment,JL-2022-000440-01,PAY-2022-0220,880,4441.000000
2022-09-01,Synthetic customer payment,JL-2022-000504-01,PAY-2022-0252,1008,3754.000000
2022-10-01,Synthetic customer payment,JL-2022-000566-01,PAY-2022-0283,1132,3185.000000
2022-11-01,Synthetic customer payment,JL-2022-000630-01,PAY-2022-0315,1260,3636.000000
2022-12-01,Synthetic customer payment,JL-2022-000692-01,PAY-2022-0346,1384,3529.000000
2022-12-03,Synthetic customer payment,JL-2022-000698-01,PAY-2022-0349,1396,713.000000
2022-12-06,Synthetic customer payment,JL-2022-000704-01,PAY-2022-0352,1408,713.000000
2023-01-01,Synthetic customer payment,JL-2023-000756-01,PAY-2023-0378,2020,5068.000000
2023-02-01,Synthetic customer payment,JL-2023-000820-01,PAY-2023-0410,2148,5147.000000
2023-03-01,Synthetic customer payment,JL-2023-000878-01,PAY-2023-0439,2264,4622.000000
2023-04-01,Synthetic customer payment,JL-2023-000942-01,PAY-2023-0471,2392,3939.000000
2023-04-17,Synthetic customer payment,JL-2023-000976-01,PAY-2023-0488,2460,687.000000
2023-04-20,Synthetic customer payment,JL-2023-000982-01,PAY-2023-0491,2472,687.000000
2023-05-01,Synthetic customer payment,JL-2023-001004-01,PAY-2023-0502,2516,5381.000000
2023-05-15,Synthetic customer payment,JL-2023-001034-01,PAY-2023-0517,2576,608.000000
2023-05-16,Synthetic customer payment,JL-2023-001036-01,PAY-2023-0518,2580,608.000000
2023-06-01,Synthetic customer payment,JL-2023-001068-01,PAY-2023-0534,2644,3374.000000
2023-07-01,Synthetic customer payment,JL-2023-001130-01,PAY-2023-0565,2768,5884.000000
2023-08-01,Synthetic customer payment,JL-2023-001194-01,PAY-2023-0597,2896,5365.000000
2023-09-01,Synthetic customer payment,JL-2023-001258-01,PAY-2023-0629,3024,4851.000000
2023-09-20,Synthetic customer payment,JL-2023-001298-01,PAY-2023-0649,3104,744.000000
2023-09-23,Synthetic customer payment,JL-2023-001304-01,PAY-2023-0652,3116,744.000000
2023-10-01,Synthetic customer payment,JL-2023-001320-01,PAY-2023-0660,3148,4646.000000
2023-11-01,Synthetic customer payment,JL-2023-001384-01,PAY-2023-0692,3276,3503.000000
2023-12-01,Synthetic customer payment,JL-2023-001446-01,PAY-2023-0723,3400,5008.000000
