amount,confidence,group_id,status,type
802.000000,0.980000,890,matched,one_to_one
970.000000,0.980000,891,matched,one_to_one
888.000000,0.980000,892,matched,one_to_one
821.000000,0.980000,893,matched,one_to_one
430.000000,0.980000,894,matched,one_to_one
787.000000,0.980000,895,matched,one_to_one
1059.000000,0.980000,896,matched,one_to_one
849.000000,0.980000,897,matched,one_to_one
443.000000,0.980000,898,matched,one_to_one
1113.000000,0.980000,899,matched,one_to_one
891.000000,0.980000,900,matched,one_to_one
860.000000,0.980000,901,matched,one_to_one
721.000000,0.980000,902,matched,one_to_one
444.000000,0.980000,903,matched,one_to_one
1174.000000,0.980000,904,matched,one_to_one
869.000000,0.980000,905,matched,one_to_one
287.000000,0.980000,906,matched,one_to_one
1063.000000,0.980000,907,matched,one_to_one
1019.000000,0.980000,908,matched,one_to_one
1184.000000,0.980000,909,matched,one_to_one
720.000000,0.980000,910,matched,one_to_one
973.000000,0.980000,911,matched,one_to_one
1015.000000,0.980000,912,matched,one_to_one
964.000000,0.980000,913,matched,one_to_one
485.000000,0.980000,914,matched,one_to_one
791.000000,0.980000,915,matched,one_to_one
1154.000000,0.980000,916,matched,one_to_one
963.000000,0.980000,917,matched,one_to_one
305.000000,0.980000,918,matched,one_to_one
1119.000000,0.980000,919,matched,one_to_one
487.000000,0.980000,920,matched,one_to_one
1089.000000,0.980000,921,matched,one_to_one
959.000000,0.980000,922,matched,one_to_one
290.000000,0.980000,923,matched,one_to_one
917.000000,0.980000,924,matched,one_to_one
901.000000,0.980000,925,matched,one_to_one
969.000000,0.980000,926,matched,one_to_one
970.000000,0.980000,927,matched,one_to_one
314.000000,0.980000,928,matched,one_to_one
889.000000,0.980000,929,matched,one_to_one
907.000000,0.980000,930,matched,one_to_one
1066.000000,0.980000,931,matched,one_to_one
1109.000000,0.980000,932,matched,one_to_one
887.000000,0.980000,933,matched,one_to_one
740.000000,0.980000,934,matched,one_to_one
1000.000000,0.980000,935,matched,one_to_one
426.000000,0.980000,936,matched,one_to_one
1043.000000,0.980000,937,matched,one_to_one
835.000000,0.980000,938,matched,one_to_one
238.000000,0.980000,939,matched,one_to_one
780.000000,0.980000,940,matched,one_to_one
1118.000000,0.980000,941,matched,one_to_one
960.000000,0.980000,942,matched,one_to_one
740.000000,0.980000,943,matched,one_to_one
900.000000,0.980000,944,matched,one_to_one
1117.000000,0.980000,945,matched,one_to_one
161.000000,0.980000,946,matched,one_to_one
798.000000,0.980000,947,matched,one_to_one
913.000000,0.980000,948,matched,one_to_one
1148.000000,0.980000,949,matched,one_to_one
1130.000000,0.980000,950,matched,one_to_one
956.000000,0.980000,951,matched,one_to_one
954.000000,0.980000,952,matched,one_to_one
982.000000,0.980000,953,matched,one_to_one
714.000000,0.980000,954,matched,one_to_one
479.000000,0.980000,955,matched,one_to_one
878.000000,0.980000,956,matched,one_to_one
330.000000,0.980000,957,matched,one_to_one
751.000000,0.980000,958,matched,one_to_one
1087.000000,0.980000,959,matched,one_to_one
1106.000000,0.980000,960,matched,one_to_one
842.000000,0.980000,961,matched,one_to_one
735.000000,0.980000,962,matched,one_to_one
726.000000,0.980000,963,matched,one_to_one
485.000000,0.980000,964,matched,one_to_one
569.000000,0.980000,965,matched,one_to_one
533.000000,0.980000,966,matched,one_to_one
507.000000,0.980000,967,matched,one_to_one
385.000000,0.980000,968,matched,one_to_one
527.000000,0.980000,969,matched,one_to_one
747.000000,0.980000,970,matched,one_to_one
589.000000,0.980000,971,matched,one_to_one
476.000000,0.980000,972,matched,one_to_one
520.000000,0.980000,973,matched,one_to_one
632.000000,0.980000,974,matched,one_to_one
597.000000,0.980000,975,matched,one_to_one
536.000000,0.980000,976,matched,one_to_one
624.000000,0.980000,977,matched,one_to_one
271.000000,0.980000,978,matched,one_to_one
773.000000,0.980000,979,matched,one_to_one
632.000000,0.980000,980,matched,one_to_one
717.000000,0.980000,981,matched,one_to_one
451.000000,0.980000,982,matched,one_to_one
694.000000,0.980000,983,matched,one_to_one
180.000000,0.980000,985,matched,one_to_one
619.000000,0.980000,987,matched,one_to_one
323.000000,0.980000,988,matched,one_to_one
784.000000,0.980000,989,matched,one_to_one
529.000000,0.980000,990,matched,one_to_one
617.000000,0.980000,991,matched,one_to_one
646.000000,0.980000,992,matched,one_to_one
602.000000,0.980000,993,matched,one_to_one
654.000000,0.980000,994,matched,one_to_one
724.000000,0.980000,995,matched,one_to_one
597.000000,0.980000,996,matched,one_to_one
639.000000,0.980000,997,matched,one_to_one
600.000000,0.980000,998,matched,one_to_one
725.000000,0.980000,999,matched,one_to_one
658.000000,0.980000,1000,matched,one_to_one
745.000000,0.980000,1001,matched,one_to_one
546.000000,0.980000,1002,matched,one_to_one
598.000000,0.980000,1003,matched,one_to_one
227.000000,0.980000,1004,matched,one_to_one
759.000000,0.980000,1005,matched,one_to_one
250.000000,0.980000,1006,matched,one_to_one
498.000000,0.980000,1007,matched,one_to_one
543.000000,0.980000,1008,matched,one_to_one
459.000000,0.980000,1009,matched,one_to_one
784.000000,0.980000,1010,matched,one_to_one
239.000000,0.980000,1011,matched,one_to_one
436.000000,0.980000,1012,matched,one_to_one
408.000000,0.980000,1013,matched,one_to_one
546.000000,0.980000,1014,matched,one_to_one
530.000000,0.980000,1015,matched,one_to_one
453.000000,0.980000,1016,matched,one_to_one
515.000000,0.980000,1017,matched,one_to_one
203.000000,0.980000,1018,matched,one_to_one
653.000000,0.980000,1019,matched,one_to_one
198.000000,0.980000,1020,matched,one_to_one
748.000000,0.980000,1021,matched,one_to_one
765.000000,0.980000,1022,matched,one_to_one
709.000000,0.980000,1023,matched,one_to_one
568.000000,0.980000,1024,matched,one_to_one
167.000000,0.980000,1025,matched,one_to_one
797.000000,0.980000,1026,matched,one_to_one
783.000000,0.980000,1027,matched,one_to_one
594.000000,0.980000,1028,matched,one_to_one
