bank_transaction_id,code,id,ledger_record_id,severity,status
99,unmatched_bank_transaction,49,,warning,open
101,unmatched_bank_transaction,50,,warning,open
157,unmatched_bank_transaction,51,,warning,open
160,unmatched_bank_transaction,52,,warning,open
409,unmatched_bank_transaction,53,,warning,open
412,unmatched_bank_transaction,54,,warning,open
,unmatched_ledger_entry,55,JL-2022-000004-01,warning,open
,unmatched_ledger_entry,56,JL-2022-000068-01,warning,open
,unmatched_ledger_entry,57,JL-2022-000126-01,warning,open
,unmatched_ledger_entry,58,JL-2022-000162-01,warning,open
,unmatched_ledger_entry,59,JL-2022-000164-01,warning,open
,unmatched_ledger_entry,60,JL-2022-000190-01,warning,open
,unmatched_ledger_entry,61,JL-2022-000252-01,warning,open
,unmatched_ledger_entry,62,JL-2022-000264-01,warning,open
,unmatched_ledger_entry,63,JL-2022-000270-01,warning,open
,unmatched_ledger_entry,64,JL-2022-000316-01,warning,open
,unmatched_ledger_entry,65,JL-2022-000378-01,warning,open
,unmatched_ledger_entry,66,JL-2022-000442-01,warning,open
,unmatched_ledger_entry,67,JL-2022-000506-01,warning,open
,unmatched_ledger_entry,68,JL-2022-000568-01,warning,open
,unmatched_ledger_entry,69,JL-2022-000632-01,warning,open
,unmatched_ledger_entry,70,JL-2022-000694-01,warning,open
,unmatched_ledger_entry,71,JL-2022-000698-01,warning,open
,unmatched_ledger_entry,72,JL-2022-000704-01,warning,open
